date,open,high,low,close,volume
2026-04-01,165.23,166.72,164.90,166.10,31000000
2026-04-02,166.55,167.80,166.10,167.40,29500000
2026-04-03,167.50,168.25,166.80,167.90,30200000
2026-04-04,168.10,169.20,167.50,168.75,28500000
2026-04-07,168.80,170.10,168.40,169.95,30800000
2026-04-08,170.05,171.20,169.60,170.80,32000000
2026-04-09,170.95,171.90,170.10,171.40,31700000
2026-04-10,171.50,172.60,170.90,172.15,31200000
2026-04-11,172.30,173.25,171.80,172.80,32500000
2026-04-14,173.00,173.95,172.20,173.60,33000000
2026-04-15,173.70,174.40,173.00,173.95,31000000
2026-04-16,174.10,175.00,173.65,174.85,30500000
2026-04-17,174.95,175.70,174.20,175.40,31500000
2026-04-18,175.50,176.30,175.00,175.90,32500000
2026-04-21,176.00,176.90,175.55,176.40,32200000
2026-04-22,176.55,177.35,176.10,177.10,31800000
2026-04-23,177.25,178.05,176.80,177.75,31000000
2026-04-24,177.90,178.80,177.20,178.40,30500000
2026-04-25,178.55,179.25,178.00,178.95,30800000
2026-04-28,179.10,179.90,178.65,179.55,31200000
2026-04-29,179.70,180.40,179.20,180.05,31500000
